"page_s";"artiste";"oeuvre";"langue";"chemin_local";"categorie";"format";"taille_octets";"taille_lisible";"utilisation_actuelle";"sources_reference";"statut";"groupe_doublon";"reference_cassee";"identifiant_propose";"portee";"chemin_cible_r2";"sha256"
"ar.html | book-3d.html | gallery-vr.html | index-ar.html | index-fr.html | index.html | print-ar.html | space.html | vr.html";"Léonard de Vinci";"La Joconde / Mona Lisa";"neutre-ou-inconnu";"assets/artists/leonardo-da-vinci/artworks/mona-lisa/media/centuries-behind-glass.mp3";"audio";"mp3";"744610";"727,16 Ko";"Référencé par 2 fichier(s) source.";"content/paintings/mona-lisa.json | scripts/gallery-vr.js";"reference";"";"non";"ld01";"oeuvre";"https://media.artdaci.com/artworks/ld01/audio/centuries-behind-glass.mp3";"74C6BC1A512931127A053864614C432A7D6BE48F34DDF8580127F5A23EEF4753"
"ar.html | book-3d.html | gallery-vr.html | index-ar.html | index-fr.html | index.html | print-ar.html | space.html | vr.html";"Léonard de Vinci";"La Joconde / Mona Lisa";"en";"assets/artists/leonardo-da-vinci/artworks/mona-lisa/media/inside-the-mona-lisa-1m40-en.m4a";"audio";"m4a";"3235229";"3,09 Mo";"Référencé par 1 fichier(s) source.";"content/paintings/mona-lisa.json";"reference";"";"non";"ld01";"oeuvre";"https://media.artdaci.com/artworks/ld01/audio/en/inside-the-mona-lisa-1m40-en.m4a";"5B0C49C9EC57439220BB37D8FA51F59D08571656027A98038CD6CFADE6650A33"
"ar.html | book-3d.html | gallery-vr.html | index-ar.html | index-fr.html | index.html | print-ar.html | space.html | vr.html";"Léonard de Vinci";"La Joconde / Mona Lisa";"fr";"assets/artists/leonardo-da-vinci/artworks/mona-lisa/media/inside-the-mona-lisa-1m46-fr.m4a";"audio";"m4a";"3439918";"3,28 Mo";"Référencé par 1 fichier(s) source.";"content/paintings/mona-lisa.json";"reference";"";"non";"ld01";"oeuvre";"https://media.artdaci.com/artworks/ld01/audio/fr/inside-the-mona-lisa-1m46-fr.m4a";"7992A0F8ACD025BCE34107B7BE33F08950C7922C247B014797D937FE131E0A42"
"ar.html | book-3d.html | gallery-vr.html | index-ar.html | index-fr.html | index.html | print-ar.html | space.html | vr.html";"Léonard de Vinci";"La Joconde / Mona Lisa";"fr";"assets/artists/leonardo-da-vinci/artworks/mona-lisa/media/la-joconde-s-évade.mp3";"audio";"mp3";"744610";"727,16 Ko";"Référencé par 2 fichier(s) source.";"content/paintings/mona-lisa.json | scripts/gallery-vr.js";"reference";"";"non";"ld01";"oeuvre";"https://media.artdaci.com/artworks/ld01/audio/fr/la-joconde-s-évade.mp3";"62EACB47AA213938340A3C2BF50BA21965E089342FAB51B664DC4977D0DA70C1"
"ar.html | book-3d.html | gallery-vr.html | index-ar.html | index-fr.html | index.html | print-ar.html | print-target.html | space.html | vr.html";"Léonard de Vinci";"La Joconde / Mona Lisa";"en";"assets/artists/leonardo-da-vinci/artworks/mona-lisa/media/mona-lisa-en.mp3";"audio";"mp3";"21228074";"20,24 Mo";"Référencé par 3 fichier(s) source.";"content/paintings/mona-lisa.json | index.html | print-target.html";"reference";"";"non";"ld01";"oeuvre";"https://media.artdaci.com/artworks/ld01/audio/en/mona-lisa-en.mp3";"9AE21C4EBB8481A3604EF154DB93794A5B167BC8E7F9C1AB477D79DA3FB59918"
"ar.html | book-3d.html | gallery-vr.html | index-ar.html | index-fr.html | index.html | print-ar.html | print-target-fr.html | space.html | vr.html";"Léonard de Vinci";"La Joconde / Mona Lisa";"fr";"assets/artists/leonardo-da-vinci/artworks/mona-lisa/media/mona-lisa-fr.mp3";"audio";"mp3";"17915747";"17,09 Mo";"Référencé par 3 fichier(s) source.";"content/paintings/mona-lisa.json | index-fr.html | print-target-fr.html";"reference";"";"non";"ld01";"oeuvre";"https://media.artdaci.com/artworks/ld01/audio/fr/mona-lisa-fr.mp3";"E68A4EF57CEB37B01CE214FC6C18C4B47CC52C014953ACE0EA1823B8F404BB46"
"ar.html | book-3d.html | gallery-vr.html | index-ar.html | index-fr.html | index.html | print-ar.html | space.html | vr.html";"Léonard de Vinci";"La Joconde / Mona Lisa";"ar";"assets/artists/leonardo-da-vinci/artworks/mona-lisa/media/الموناليزا-لغز-الابتسامة-والسرقة-والرموش-المفقودة.mp3";"audio";"mp3";"24294374";"23,17 Mo";"Référencé par 2 fichier(s) source.";"content/paintings/mona-lisa.json | scripts/print-ar.js";"reference";"";"non";"ld01";"oeuvre";"https://media.artdaci.com/artworks/ld01/audio/ar/الموناليزا-لغز-الابتسامة-والسرقة-والرموش-المفقودة.mp3";"4A3D27326CFC51FD45FAD02397F6B7ED60A3AE3C673CE8F13A03A6D24990AB28"
"ar.html | book-3d.html | gallery-vr.html | index-ar.html | index-fr.html | index.html | print-ar.html | space.html | vr.html";"Léonard de Vinci";"La Joconde / Mona Lisa";"ar";"assets/artists/leonardo-da-vinci/artworks/mona-lisa/media/رقصة-خلف-الإطار.mp3";"audio";"mp3";"744610";"727,16 Ko";"Référencé par 2 fichier(s) source.";"content/paintings/mona-lisa.json | scripts/gallery-vr.js";"reference";"";"non";"ld01";"oeuvre";"https://media.artdaci.com/artworks/ld01/audio/ar/رقصة-خلف-الإطار.mp3";"60CE16017197D466C2E20E2F1976A56BEE0C593B03141F2E707136FF5E1EA3A3"
"ar.html | book-3d.html | gallery-vr.html | index-ar.html | index-fr.html | index.html | print-ar.html | space.html | vr.html";"Léonard de Vinci";"La Joconde / Mona Lisa";"neutre-ou-inconnu";"assets/targets/mona-lisa.mind";"cible-ar";"mind";"1113816";"1,06 Mo";"Référencé par 2 fichier(s) source.";"content/paintings/mona-lisa.json | README.md";"reference";"";"non";"ld01";"oeuvre";"https://media.artdaci.com/artworks/ld01/ar/mona-lisa.mind";"2358DF81EF8DB609D6FBB695E6CC2CA32415A780C70B88845271312C4163463F"
"book-3d.html | gallery-vr.html | index-ar.html | index-fr.html | index.html";"Léonard de Vinci";"La Joconde / Mona Lisa";"neutre-ou-inconnu";"assets/artists/leonardo-da-vinci/artworks/mona-lisa/images/davinci-monalisa.png";"image";"png";"8810835";"8,40 Mo";"Référencé par 6 fichier(s) source.";"index-ar.html | index-fr.html | index.html | scripts/book-3d.js | scripts/gallery-vr.js | scripts/print-leonardo-tribute.js";"reference";"";"non";"ld01";"oeuvre";"https://media.artdaci.com/artworks/ld01/images/davinci-monalisa.png";"6CFFE8AE0B5D8DAC4106843AA4C96DE62AEEC3885A699D1AB936151884CBED98"
