"page";"langue";"titre";"role";"taille_octets";"scripts";"medias_references_ou_herites";"references_cassees"
"ar.html";"en";"DACIART WebAR Viewer - Mona Lisa";"expérience ou outil AR";"3263";"scripts/ar-viewer.js?v=46 | scripts/visitor-guide.js?v=1";"66";"0"
"atlas.html";"fr";"DACIART - Atlas augmenté des chefs-d'œuvre";"livre ou atlas immersif";"6245";"";"0";"0"
"book-3d.html";"en";"ARTDACI — The Living 3D Book";"livre ou atlas immersif";"2156";"scripts/book-3d.js?v=31 | scripts/visitor-guide.js?v=1";"79";"0"
"camera-test.html";"en";"DACIART Camera Test";"expérience ou outil AR";"3301";"";"0";"0"
"cinema-vr.html";"en";"ARTDACI — VR Cinema";"expérience VR";"6296";"scripts/gallery-vr.js?v=119 | scripts/pwa.js?v=1";"1";"0"
"compile-target.html";"en";"DACIART MindAR Target Compiler";"expérience ou outil AR";"4379";"";"4";"0"
"gallery-vr.html";"en";"DACIART — VR Gallery";"expérience VR";"9253";"scripts/gallery-vr.js?v=144 | scripts/pwa.js?v=1";"220";"0"
"index-ar.html";"ar";"ARTDACI - روائع فنية حية";"entrée de collection";"7133";"scripts/catalogue.js?v=10 | scripts/visitor-guide.js?v=1 | scripts/pwa.js?v=1";"69";"0"
"index-fr.html";"fr";"DACIART - Livre d'art augmenté";"entrée de collection";"12422";"scripts/catalogue.js?v=10 | scripts/visitor-guide.js?v=1 | scripts/pwa.js?v=1";"72";"0"
"index.html";"en";"DACIART - Augmented Art Book";"entrée de collection";"11941";"scripts/catalogue.js?v=10 | scripts/visitor-guide.js?v=1 | scripts/pwa.js?v=1";"71";"0"
"print-ar.html";"ar";"ARTDACI — الصفحة المطبوعة";"page catalogue imprimable";"1357";"scripts/print-ar.js?v=3 | scripts/painting-museum.js?v=1";"66";"0"
"print-artwork.html";"en";"ARTDACI — Artwork Spread";"page catalogue imprimable";"478";"scripts/print-artwork.js?v=2";"0";"0"
"print-leonardo-tribute.html";"en";"ARTDACI — Leonardo da Vinci Tribute";"page catalogue imprimable";"847";"scripts/print-leonardo-tribute.js?v=1";"1";"0"
"print-monet-impression-sunrise-fr.html";"fr";"Monet — Impression, soleil levant — Double page imprimée";"page catalogue imprimable";"6718";"scripts/painting-museum.js?v=1";"4";"0"
"print-monet-impression-sunrise.html";"en";"Monet — Impression, Sunrise — Printed Catalogue Spread";"page catalogue imprimable";"6510";"scripts/painting-museum.js?v=1";"4";"0"
"print-multimedia-qr-fr.html";"fr";"Portails multimédias - Livre imprimé";"page catalogue imprimable";"4385";"";"10";"0"
"print-multimedia-qr.html";"en";"Multimedia Portals - Printed Book";"page catalogue imprimable";"4111";"";"10";"0"
"print-target-fr.html";"fr";"Mona Lisa - Double page de catalogue";"page catalogue imprimable";"9304";"scripts/artwork-media-manifest.js?v=1 | scripts/painting-museum.js?v=1";"6";"0"
"print-target.html";"en";"Mona Lisa - Printed Catalogue Spread";"page catalogue imprimable";"13233";"scripts/artwork-media-manifest.js?v=1 | scripts/painting-museum.js?v=1";"6";"0"
"print-van-gogh-bedroom-fr.html";"fr";"La Chambre de Van Gogh - Double page de catalogue";"page catalogue imprimable";"12403";"scripts/painting-museum.js?v=1";"6";"0"
"print-van-gogh-bedroom.html";"en";"Van Gogh The Bedroom - Printed Catalogue Spread";"page catalogue imprimable";"11815";"scripts/painting-museum.js?v=1";"6";"0"
"print-van-gogh-fr.html";"fr";"Autoportrait de Van Gogh - Double page de catalogue";"page catalogue imprimable";"12576";"scripts/painting-museum.js?v=1";"10";"0"
"print-van-gogh.html";"en";"Van Gogh Self-Portrait - Printed Catalogue Spread";"page catalogue imprimable";"12111";"scripts/painting-museum.js?v=1";"10";"0"
"print-vermeer-girl-with-a-pearl-earring-fr.html";"fr";"Vermeer La Jeune Fille à la perle - Double page de catalogue";"page catalogue imprimable";"10404";"scripts/painting-museum.js?v=1";"6";"0"
"print-vermeer-girl-with-a-pearl-earring.html";"en";"Vermeer Girl with a Pearl Earring - Printed Catalogue Spread";"page catalogue imprimable";"10116";"scripts/painting-museum.js?v=1";"6";"0"
"space.html";"en";"DACIART - Place in My Space";"placement spatial";"2122";"vendor/model-viewer.min.js?v=3.5.0 | scripts/space-viewer.js?v=28 | scripts/visitor-guide.js?v=1";"66";"0"
"vr.html";"en";"DACIART VR Gallery";"expérience VR";"1672";"scripts/vr-viewer.js?v=4 | scripts/visitor-guide.js?v=1";"66";"0"
